Platform;Station;Grid;Instrument_Type;Lat;Lon;Status;Project_Name
Vessel;C11987;KML01;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-29.3817;16.92133333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11988;KML02;CTD_ADCP_AWS_TSG_Niskin Bottle;-29.4167;16.7915;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11989;KML03;CTD_ADCP_AWS_TSG_Niskin Bottle;-29.5105;16.41183333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11990;KML04;CTD_ADCP_AWS_TSG_Niskin Bottle;-29.6572;15.942;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11991;KML05;CTD_ADCP_AWS_TSG_Niskin Bottle;-29.8107;15.3975;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11992;KML06;CTD_ADCP_AWS_TSG_Niskin Bottle;-29.8623;15.17833333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11993;KML07;CTD_ADCP_AWS_TSG_Niskin Bottle;-29.9308;14.95416667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11994;KML08;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-30.0112;14.695;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11995;KML09;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-30.0688;14.46266667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11996;KML10;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-30.1392;14.22516667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11997;NML10;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-31.0652;15.11266667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11998;NML09;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-31.0175;15.31933333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C11999;NML08;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-30.9887;15.4625;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12000;NML07;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-30.9655;15.55666667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12001;NML06;CTD_ADCP_AWS_TSG_Niskin Bottle_Bongo;-30.9262;15.72866667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12002;NML05;CTD_ADCP_AWS_TSG_Niskin Bottle;-30.8693;16.01233333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12003;NML04;CTD_ADCP_AWS_TSG_Niskin Bottle;-30.7458;16.53183333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12004;NML03;CTD_ADCP_AWS_TSG_Niskin Bottle;-30.67;16.87616667;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12005;NML02;CTD_ADCP_AWS_TSG_Niskin Bottle;-30.5822;17.26933333;Active;Integrated Ecosystem Programme  Southern Benguela
Vessel;C12006;NML01;CTD_ADCP_AWS_TSG_Niskin Bottle;-30.5527;17.391;Active;Integrated Ecosystem Programme  Southern Benguela
